toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
175.03,307210830,CP,08h18m07.89s,124.5328600,-68d18m52.08s,-68.3144660,94.7680000,-340.4700000,2458354.9060060,2.2530890,0.9888330,677.3793330,0.8578680,24.4373250,567.0654300,9.4124200,10.6194000,3469.0000000,4.9401000,0.3130000,2018-10-11 19:07:06,2019-12-17 10:00:02
1750.01,237099296,,16h01m12.47s,240.3019780,+68d56m14.28s,68.9373000,48.6520000,-36.3740000,2458688.8265030,11.3378090,2.9183410,1093.9816580,2.5243050,33.3502680,612.9070010,11.7077000,162.4600000,4765.0000000,4.5513800,0.7686750,2020-02-27 22:12:19,2020-02-28 12:00:18
1751.01,287080092,,16h13m57.32s,243.4888530,+63d32m00.71s,63.5335300,8.3530000,-172.8100000,2458733.6294170,37.4734790,7.5910820,466.1251680,2.8096970,38.1201100,633.7358640,8.8061600,113.3350000,6114.0000000,4.2930000,1.2684100,2020-02-27 22:12:19,2020-02-28 12:00:18
1752.01,287139872,,16h53m50.76s,253.4614860,+60d42m34.63s,60.7096200,-171.2520000,125.1960000,2458683.5952430,0.9351430,0.8255630,1202.5942620,1.8411380,194.1855750,952.0812030,12.7463000,103.0210000,3652.0000000,4.7138700,0.5269870,2020-02-27 22:12:19,2020-02-28 12:00:18
1753.01,289580577,,16h49m52.76s,252.4698350,+61d10m24.88s,61.1735770,-1.5850000,12.5480000,2458684.5037700,5.3849420,3.1298050,696.7342650,2.9634850,237.9772340,1001.7367400,11.2078000,226.6710000,5700.0000000,4.4808800,0.9590220,2020-02-27 22:12:19,2020-02-28 12:00:18
1754.01,332477926,,17h42m22.63s,265.5943100,+57d26m51.98s,57.4477710,-8.1230000,-12.3780000,2458689.9242010,16.2172970,3.4289990,1611.3338480,2.4000140,6.3046210,404.1424750,11.7229000,81.5511000,3849.0000000,4.6568800,0.5932950,2020-02-27 22:12:19,2020-02-28 12:00:18
1755.01,356978132,FP,18h15m07.61s,273.7817070,+56d52m41.17s,56.8781020,9.7510000,-39.9050000,2458718.9007010,60.1869560,2.5866400,4658.8563180,14.0403110,23.6132830,562.2233050,9.9005100,205.9330000,6499.0000000,4.3536200,1.2714900,2020-02-27 22:12:19,2020-04-30 12:00:24
1756.01,364074068,,20h25m18.91s,306.3287740,+77d38m11.08s,77.6364120,-12.5770000,52.0960000,2458764.8466610,2.7835100,1.8098270,1080.0776860,2.1380000,55.5690950,696.3508040,12.0948000,86.7159000,3756.0000000,4.6830900,0.5626070,2020-02-27 22:12:19,2020-02-28 12:00:18
1757.01,367753709,,17h01m36.17s,255.4007140,+79d04m01.65s,79.0671260,-52.3330000,39.4660000,2458685.2043320,2.1256170,1.5342760,602.2792220,2.0795700,209.8906710,970.7737710,11.2906000,104.3460000,4428.0000000,4.5797700,0.7071590,2020-02-27 22:12:19,2020-02-28 12:00:18
1758.01,367858035,,23h38m57.98s,354.7415810,+75d41m06.84s,75.6852320,-82.6420000,25.1580000,2458806.6989170,20.7038540,3.5951860,1707.3627130,3.3809490,20.7516010,544.3555470,10.0907000,96.6215000,5169.0000000,4.5700000,0.8058860,2020-02-27 22:12:19,2020-02-28 12:00:18
